        0.0000  -1.423361   0.307105  -1.116256 
      250.0000  -1.408703   0.296257  -1.112446 
      500.0000  -1.414672   0.300538  -1.114134 
      750.0000  -1.403212   0.299277  -1.103936 
     1000.0000  -1.415606   0.309166  -1.106440 
     1250.0000  -1.413404   0.298497  -1.114907 
     1500.0000  -1.402184   0.290434  -1.111750 
     1750.0000  -1.407537   0.299173  -1.108364 
     2000.0000  -1.415767   0.292547  -1.123220 
     2250.0000  -1.400226   0.306759  -1.093466 
     2500.0000  -1.404394   0.291726  -1.112668 
     2750.0000  -1.388210   0.310902  -1.077308 
     3000.0000  -1.406144   0.302464  -1.103680 
     3250.0000  -1.399224   0.308196  -1.091028 
     3500.0000  -1.397695   0.306746  -1.090948 
     3750.0000  -1.404269   0.307553  -1.096716 
     4000.0000  -1.397476   0.302379  -1.095097 
     4250.0000  -1.392087   0.304673  -1.087414 
     4500.0000  -1.398927   0.318412  -1.080515 
     4750.0000  -1.417591   0.301881  -1.115710 
     5000.0000  -1.406074   0.317576  -1.088499 
     5250.0000  -1.415085   0.300076  -1.115009 
     5500.0000  -1.406440   0.318687  -1.087754 
     5750.0000  -1.416014   0.299174  -1.116840 
     6000.0000  -1.403887   0.301200  -1.102687 
     6250.0000  -1.400518   0.301909  -1.098609 
     6500.0000  -1.407833   0.299609  -1.108224 
     6750.0000  -1.400058   0.305035  -1.095023 
     7000.0000  -1.403325   0.304018  -1.099307 
     7250.0000  -1.411032   0.294847  -1.116185 
     7500.0000  -1.415643   0.297357  -1.118286 
     7750.0000  -1.401243   0.289555  -1.111688 
     8000.0000  -1.412601   0.298461  -1.114139 
     8250.0000  -1.399145   0.306565  -1.092579 
     8500.0000  -1.419338   0.301451  -1.117887 
     8750.0000  -1.395493   0.303562  -1.091931 
     9000.0000  -1.392802   0.295108  -1.097694 
     9250.0000  -1.400882   0.306074  -1.094808 
     9500.0000  -1.413517   0.309878  -1.103639 
     9750.0000  -1.432156   0.294488  -1.137669 
    10000.0000  -1.431906   0.298003  -1.133904 
    10250.0000  -1.420826   0.296555  -1.124271 
    10500.0000  -1.413889   0.290485  -1.123403 
    10750.0000  -1.409806   0.299747  -1.110059 
